objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Chapters","423517","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132801966","6.22332","7.06103","1.7018","2116","4555","thing","3 Chapters","2","6","30","30","30","2025","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","11.2","USD","","","2025-07-03","Manyrealms.com","","","","","AMIGO","English","2025","English (North American) edition"
"7 Wonders (Second Edition)","316377","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","125925150","7.34981","7.82745","2.2751","210","18723","thing","7 Wonders (Second Edition)","3","7","30","30","30","2020","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders (Second Edition): Cities","316378","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006317","6.17123","8.03837","2.2941","0","4284","thing","7 Wonders (Second Edition): Cities","3","7","40","40","40","2020","3,4,5,6,7","5","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders (Second Edition): Leaders","316380","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","127116824","6.28289","8.18881","2.4211","0","4505","thing","7 Wonders (Second Edition): Leaders","3","7","40","40","40","2020","3,4,5,6,7","4,5","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","134202374","7.9551","8.0805","2.2273","23","180183","thing","7 Wonders Duel","2","2","30","30","30","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","17.5","USD","","","2021-12-02","Amazon.com","","","","","Repos Production","English","2021","English edition 2021 R27"
"7 Wonders: Architects","346703","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","133994826","6.76143","7.0343","1.3656","803","19104","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","39.99","USD","","","2025-07-06","Tabletopmerchant.com","","","","","Repos Production","English","2021","English edition"
"The A.R.T. Project","378356","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128573468","5.9574","7.09306","2.0476","3400","2233","thing","The A.R.T. Project","1","6","40","40","40","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: The Descent","412268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004601","5.71804","8.72612","3","5857","1032","thing","Aeon's End: The Descent","1","4","60","60","60","2024","1,2,3,4","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","46.99","USD","","","2025-04-14","Cardhaus.com","1","","","","","","",""
"Aeon's End: The New Age","270633","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004612","7.19426","8.49267","2.9054","307","8490","thing","Aeon's End: The New Age","1","4","60","60","60","2019","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Innovation","383179","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109734191","7.75005","8.47725","4.264","54","10671","thing","Age of Innovation","1","5","200","200","40","2023","1,2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Air, Land, & Sea","247367","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","134201982","7.07284","7.44746","1.7394","414","20532","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","9.99","USD","","","2021-10-04","Amazon.com","","","","","Arcane Wonders","English","2019","English first edition"
"Air, Land, & Sea: Spies, Lies, & Supplies","358981","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248223","6.39329","7.76097","1.8","1588","5172","thing","Air, Land, & Sea: Spies, Lies, & Supplies","2","4","30","30","15","2022","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","12.92","USD","","","2025-06-13","Gamersguildaz.com","","","","","Arcane Wonders","English","2022","English edition"
"Alpujarras","330208","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202568","5.59862","7.03516","2.6667","9294","501","thing","Alpujarras","1","4","60","60","45","2023","1,2,3,4","4","12+","","","","","","","standalone","","13.33","USD","","","2025-05-29","Dr. Finn's Games","","","","","Dr. Finn's Games","English","2023","English edition"
"Alpujarras Express","340684","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202582","0","6.45625","0","0","157","thing","Alpujarras Express","2","2","15","15","10","2023","","","","","","","","","","standalone","","3.33","USD","","","2025-05-29","Dr. Finn's Games","","","","","Dr. Finn's Games","English","2023","English edition"
"Andromeda's Edge","358661","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","133531469","7.36332","8.28475","3.7143","202","9609","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","47.99","USD","","","2025-06-23","Tabletopmerchant.com","","","","","Cardboard Alchemy","English","2024","English edition"
"Andromeda's Edge: Escalation","379786","0","0","0","1","0","0","0","0","0","1","0","3","","","","","","136266231","5.82602","8.56229","3.7143","0","2908","thing","Andromeda's Edge: Escalation","1","5","200","200","40","2024","1,2,3,4","3","14+","","","","","","","expansion","","29","USD","","","2025-09-09","gamefound.com","1","","","","","","",""
"Andromeda's Edge: Exotic Matter Promo Kit","428249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573454","5.73395","8.5211","4","0","2004","thing","Andromeda's Edge: Exotic Matter Promo Kit","2","4","200","200","40","2024","1,2,3,4","1","14+","","","","","","","expansion","","18.49","USD","","","2025-08-18","Cardhaus","1","","","","","","",""
"Apiary","400314","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133005026","7.18176","7.68962","3.0089","315","14277","thing","Apiary","1","5","90","90","60","2023","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","stonemaiergames.com","","I liked the packaging: little-to-no plastic. Excellent manual/ teaching aid. Great insert.
Huge tablespace hog, unfortunately.","","","","","",""
"Apiary: Expanding the Hive","427705","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133005028","5.9546","8.26659","2.8571","0","3203","thing","Apiary: Expanding the Hive","1","5","90","90","60","2024","1,2,3,4","3,4","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Aquatica","283393","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","132828274","6.93292","7.35572","2.3202","574","12184","thing","Aquatica","1","4","60","60","30","2023","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Arcane Wonders; Cosmodrome Games","English","2023","English third edition"
"Aquatica: Coral Reefs","404036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134203438","5.73786","8.02807","2","0","1606","thing","Aquatica: Coral Reefs","1","5","60","60","60","2024","","","","","","","","","","expansion","","29.99","USD","","","2025-04-29","Arcanewonders.com","","","","","Arcane Wonders","English","2024","English (NA) edition"
"Arcs","359871","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125427510","7.57844","8.02886","3.4244","105","26054","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006952","6.56857","8.5649","3.2778","0","9636","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arcs: The Blighted Reach Expansion","363757","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006957","6.849","8.87086","4.5128","0","8220","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004810","7.89384","8.1237","3.5636","32","82614","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aspens","424507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140939670","5.63174","7.83166","1.8","7912","743","thing","Aspens","2","2","45","45","20","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","44.99","USD","","","2025-11-25","miniaturemarket.com","1","","","","Ludivore Games","English","2025","English deluxe edition"
"Aspens: Ancient Artifacts","437756","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140939727","0","7.3125","0","0","272","thing","Aspens: Ancient Artifacts","2","2","0","0","0","2025","","","","","","","","","","expansion","","11.99","USD","","","2025-11-24","miniaturemarket.com","1","","","","","","",""
"Aspens: Majestic Marvels","439420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140939804","0","7","0","0","275","thing","Aspens: Majestic Marvels","2","2","0","0","0","2025","","","","","","","","","","expansion","","5.99","USD","","","2025-11-24","miniaturemarket.com","","","","","Ludivore Games","English","2025","English edition"
